	Position	CompanyName	Skills	Published	MoreInfo
74	Data Analyst	verisk analytics india private limited	sql, html, python, machine learning	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-verisk-analytics-india-private-limited-gurgaon-1-to-4-yrs-jobid-H2DTLZBNfcNzpSvf__PLUS__uAgZw==&source=srp
75	Data Analyst	Cognizant Technology Solutions	reports, mentor, customer interaction, coding, database, security, procedures, c	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-cognizant-technology-solutions-mumbai-0-to-3-yrs-jobid-Sunauy__SLASH__Ix5FzpSvf__PLUS__uAgZw==&source=srp
76	Data Analyst	Ground Truth	python, mobile, sql, database, written communication, infrastructure, linux	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-ground-truth-gurgaon-2-to-3-yrs-jobid-mN6Clc5a5LJzpSvf__PLUS__uAgZw==&source=srp
77	Data Analyst	Forstaffing	mdx, ssas, olap, sql	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-forstaffing-noida-greater-noida-3-to-5-yrs-jobid-cf8qHnDv__PLUS__EdzpSvf__PLUS__uAgZw==&source=srp
78	Data Analyst	AMAZON INDIA PVT LTD	bi, team player, sql, Data Analytics	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-amazon-india-pvt-ltd-bengaluru-bangalore-1-to-4-yrs-jobid-RHWG3gY1rZNzpSvf__PLUS__uAgZw==&source=srp
79	Data Analyst	TARGET	hive, sql, big data, technical skills, python, machine learning	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-target-bengaluru-bangalore-0-to-3-yrs-jobid-BOdsBraYWNpzpSvf__PLUS__uAgZw==&source=srp
80	Data Analyst	JobsLo Consultants	algorithms, python, machine learning, artificial neural networks	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-jobslo-consultants-bengaluru-bangalore-3-to-10-yrs-jobid-qM2XDFubQzhzpSvf__PLUS__uAgZw==&source=srp
81	Data Analyst	Chargebee	algorithms, bi, sql, python, sas, information management, problem solving, machine learning, written communication, reporting tools	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-chargebee-chennai-3-to-6-yrs-jobid-__PLUS____PLUS__xhrVv2oldzpSvf__PLUS__uAgZw==&source=srp
82	Data analyst	Analytics Vidhya	reports, excel, mis, information systems, reporting	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-analytics-vidhya-bengaluru-bangalore-3-to-6-yrs-jobid-OJ__PLUS__x2bCwhbNzpSvf__PLUS__uAgZw==&source=srp
83	Data Analyst	LAKSH HUMAN RESOURCE	algorithms, python, rdbms, data mining, machine learning, nosql, database, big data	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-laksh-human-resource-thiruvananthapuram-2-to-10-yrs-jobid-6YNLJb70CnJzpSvf__PLUS__uAgZw==&source=srp
84	Data Analyst	NEXTWAVE MULTIMEDIA	python, mobile games, sql, games	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-nextwave-multimedia-chennai-2-to-4-yrs-jobid-W6GVP3PeKDpzpSvf__PLUS__uAgZw==&source=srp
85	Data Analyst	RANGAM INFOTECH PVT. LTD.	hive, c  , scala, pig, salesforce, java, hadoop, big data, python, sybase, microsoft azure, infrastructure	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-rangam-infotech-pvt-ltd-mumbai-3-to-5-yrs-jobid-S0dMqhDRdJpzpSvf__PLUS__uAgZw==&source=srp
86	Data Analyst	Bloom Consulting Services	data mining, writtencommunication, java, hadoop, technical skills, c, vb, reporting tools	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-bloom-consulting-services-bengaluru-bangalore-0-to-3-yrs-jobid-NQxI7Ki5iMpzpSvf__PLUS__uAgZw==&source=srp
87	Data Analyst	Paypal India Pvt Ltd	R,  Python,  SAS ,  SQL  ,	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-paypal-india-pvt-ltd-bengaluru-bangalore-3-to-8-yrs-jobid-2JwXkOYjPYtzpSvf__PLUS__uAgZw==&source=srp
88	Data Analyst	Paypal India Pvt Ltd	data sources, data vendor, data sourcing	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-paypal-india-pvt-ltd-chennai-4-to-9-yrs-jobid-m8P0m3__SLASH__x50RzpSvf__PLUS__uAgZw==&source=srp
